@relation 'WekaExcel-weka.filters.unsupervised.attribute.Remove-R1-2,4'

@attribute Etiquetado {anormal,normal}
@attribute promedioCambioAnterior numeric
@attribute cambio numeric

@data
anormal,0.17771,0
anormal,0.17266,0
normal,0.167609,0
normal,0.165648,0
normal,0.165648,0
normal,0.163796,0
normal,0.162042,0
normal,0.162042,0.034483
normal,0.161525,0
normal,0.161525,0
normal,0.159937,0
normal,0.158422,0
normal,0.158422,0.035714
normal,0.158164,0
normal,0.158164,0
normal,0.156775,0
normal,0.156775,0.037037
normal,0.158009,0
normal,0.156676,0
normal,0.156676,0.038462
normal,0.156676,0
normal,0.156676,0.04
normal,0.158009,0
anormal,0.156775,0
normal,0.156775,0.135802
normal,0.161301,0.021739
normal,0.162026,0.022222
normal,0.162767,0
anormal,0.162767,0
anormal,0.162182,0
normal,0.162182,0
normal,0.162182,0.047619
normal,0.163769,0
normal,0.163769,0.05
normal,0.165436,0.052632
normal,0.16719,0
normal,0.16719,0.055556
normal,0.169042,0
normal,0.167893,0
normal,0.167893,0.058824
normal,0.169854,0
normal,0.169854,0.0625
normal,0.171937,0
normal,0.170746,0.066667
normal,0.172969,0
normal,0.172969,0.071429
normal,0.17535,0
normal,0.174115,0
normal,0.174115,0.076923
normal,0.176679,0
normal,0.175397,0
normal,0.175397,0
normal,0.174064,0.083333
normal,0.176842,0
normal,0.176842,0
normal,0.172315,0
normal,0.17159,0
normal,0.170849,0.090909
normal,0.17388,0
normal,0.17388,0
normal,0.17388,0
normal,0.17388,0
normal,0.172292,0
normal,0.172292,0
normal,0.170626,0
normal,0.168871,0
normal,0.168871,0.1
normal,0.170353,0
normal,0.170353,0
normal,0.170353,0
anormal,0.168392,0
anormal,0.168392,0
normal,0.166309,0.043478
normal,0.167758,0
normal,0.165536,0.041667
normal,0.166925,0.04
normal,0.165877,0.038462
normal,0.167159,0.037037
normal,0.168394,0
anormal,0.16583,0
anormal,0.16583,0
normal,0.16583,0
normal,0.16583,0.066667
normal,0.165274,0
normal,0.165274,0.0625
normal,0.167357,0.058824
normal,0.169318,0
normal,0.169318,0.055556
normal,0.16814,0
normal,0.16814,0.052632
normal,0.169894,0.05
normal,0.171561,0
normal,0.171561,0.047619
normal,0.173148,0
normal,0.173148,0.045455
normal,0.174663,0.043478
normal,0.176112,0
normal,0.172779,0.041667
normal,0.174168,0.04
normal,0.175501,0
normal,0.175501,0.038462
normal,0.176783,0.037037
normal,0.178018,0
normal,0.176569,0.035714
normal,0.177759,0
normal,0.17637,0.034483
anormal,0.176186,0.034483
anormal,0.176054,0.034483
normal,0.175969,0.032787
normal,0.177061,0.02381
anormal,0.177855,0.02381
normal,0.178649,0
normal,0.178649,0.03125
normal,0.177468,0
normal,0.177468,0.030303
normal,0.176395,0
normal,0.174434,0.029412
normal,0.175415,0
