@relation 'WekaExcel-weka.filters.unsupervised.attribute.Remove-R1-2,4-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Cfirst-Llast'

@attribute Etiquetado {anormal,normal}
@attribute promedioCambioAnterior numeric
@attribute cambio numeric

@data
anormal,0.162222,0
anormal,0.184837,0.055556
anormal,0.193354,0.02381
anormal,0.194148,0.02381
anormal,0.169835,0
anormal,0.169835,0
anormal,0.163946,0.086207
anormal,0.166728,0.047619
anormal,0.168315,0.047619
anormal,0.168644,0
anormal,0.168644,0
anormal,0.172117,0.066667
anormal,0.171561,0.066667
anormal,0.17643,0.026316
anormal,0.177132,0.03125
anormal,0.17705,0.014925
anormal,0.176595,0.014925
anormal,0.165725,0
anormal,0.165047,0.013889
anormal,0.164623,0.037037
anormal,0.165858,0.037037
anormal,0.169543,0.021277
anormal,0.169352,0.021277
anormal,0.204292,0
anormal,0.197059,0
anormal,0.191163,0
anormal,0.181218,0
anormal,0.171151,0
anormal,0.166984,0
anormal,0.162222,0
anormal,0.165966,0.1
anormal,0.169299,0.1
anormal,0.185026,0.064516
anormal,0.187177,0.064516
anormal,0.181985,0
anormal,0.17561,0.1
anormal,0.179566,0
anormal,0.183,0.017857
anormal,0.174107,0
anormal,0.171376,0
anormal,0.159436,0
anormal,0.158425,0
anormal,0.159024,0.031746
anormal,0.186216,0.083333
anormal,0.188473,0.083333
anormal,0.214584,0
anormal,0.209311,0
anormal,0.203044,0
anormal,0.189766,0
anormal,0.181024,0
anormal,0.176719,0
anormal,0.198365,0.043478
anormal,0.194259,0.043478
anormal,0.188127,0.02
anormal,0.168983,0
anormal,0.167468,0
anormal,0.164321,0
anormal,0.17252,0.066667
anormal,0.174743,0.066667
anormal,0.182527,0.159091
anormal,0.178728,0.045455
anormal,0.18438,0.019608
anormal,0.176238,0
anormal,0.180823,0.147887
anormal,0.170907,0.027778
anormal,0.170722,0.027778
anormal,0.171049,0.014286
anormal,0.171525,0.014286
anormal,0.167905,0
anormal,0.167004,0
anormal,0.17191,0.051282
anormal,0.172693,0.051282
anormal,0.198254,0
anormal,0.196866,0
anormal,0.19025,0
