@relation 'WekaExcel-weka.filters.unsupervised.attribute.Remove-R1-2,4-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Cfirst-Lfirst-weka.filters.unsupervised.instance.RemovePercentage-P88.78'

@attribute Etiquetado {anormal,normal}
@attribute promedioCambioAnterior numeric
@attribute cambio numeric

@data
normal,0.164988,0
normal,0.164008,0.03125
normal,0.164069,0
normal,0.163089,0.032258
normal,0.164164,0
normal,0.163688,0.033333
normal,0.164323,0.034483
normal,0.164996,0
normal,0.164996,0.035714
normal,0.166186,0.037037
normal,0.167421,0
normal,0.167421,0.038462
normal,0.167777,0.04
normal,0.16911,0.041667
normal,0.170499,0
normal,0.170499,0.043478
normal,0.171048,0.045455
normal,0.172563,0.047619
normal,0.17415,0
normal,0.17415,0.05
normal,0.175817,0.052632
normal,0.1784,0.081967
normal,0.181132,0.030303
normal,0.182142,0.03125
normal,0.183184,0.064516
normal,0.184851,0.068966
normal,0.183964,0.037037
normal,0.182012,0.038462
normal,0.183294,0.08
normal,0.189242,0.090909
normal,0.192273,0.1
normal,0.194531,0
normal,0.194531,0.111111
normal,0.197123,0
normal,0.195974,0.125
normal,0.200141,0
normal,0.19895,0.142857
normal,0.202477,0
normal,0.202477,0.166667
normal,0.206751,0
normal,0.205418,0.2
normal,0.210695,0
normal,0.210695,0
normal,0.207731,0
normal,0.206144,0
normal,0.206144,0
normal,0.204477,0
normal,0.202723,0
normal,0.198236,0
normal,0.197226,0
normal,0.196184,0
normal,0.191735,0
normal,0.1905,0
normal,0.189218,0
normal,0.186551,0
normal,0.183885,0
normal,0.178188,0
normal,0.174854,0
normal,0.174854,0
normal,0.171151,0
normal,0.166984,0
normal,0.162222,0
normal,0.156667,0
normal,0.156667,0.142857
normal,0.154762,0.125
normal,0.158929,0
normal,0.158929,0.111111
normal,0.162632,0
normal,0.162632,0.1
normal,0.165966,0
normal,0.165966,0.090909
normal,0.168996,0.083333
normal,0.171774,0
normal,0.171774,0.076923
normal,0.174338,0.071429
normal,0.176719,0
normal,0.176719,0.066667
normal,0.178941,0.0625
normal,0.181024,0
normal,0.181024,0.058824
normal,0.182985,0
normal,0.182985,0.055556
normal,0.184837,0.052632
normal,0.186591,0
normal,0.186591,0.02381
normal,0.187385,0.046512
normal,0.188935,0.022222
normal,0.189676,0.01087
normal,0.190401,0
normal,0.190401,0.041667
normal,0.19179,0
normal,0.187028,0
normal,0.182861,0.04
normal,0.184194,0
normal,0.180491,0.038462
normal,0.181773,0
normal,0.178439,0
normal,0.178439,0.037037
normal,0.176644,0
normal,0.173866,0
normal,0.173866,0
normal,0.171302,0
normal,0.168921,0.035714
normal,0.170111,0
normal,0.167889,0
normal,0.165806,0
normal,0.165806,0
normal,0.163845,0
normal,0.163845,0
normal,0.161993,0
normal,0.160239,0.017544
normal,0.160824,0
normal,0.157739,0
normal,0.157376,0.035714
normal,0.158205,0
normal,0.158205,0
normal,0.156816,0
normal,0.156816,0.037037
normal,0.15805,0
normal,0.156717,0
normal,0.156717,0.038462
normal,0.156717,0
normal,0.156717,0.04
normal,0.15805,0
normal,0.156816,0.041667
normal,0.158205,0
normal,0.158205,0.043478
normal,0.159654,0
normal,0.159654,0
normal,0.158463,0.045455
normal,0.159979,0
normal,0.159979,0.047619
normal,0.161566,0
normal,0.161566,0.05
normal,0.163233,0.052632
normal,0.164987,0
normal,0.164987,0.055556
normal,0.169958,0.029412
normal,0.170938,0.030303
normal,0.171948,0.03125
normal,0.17299,0.032258
normal,0.174065,0.033333
normal,0.173986,0.034483
normal,0.175135,0.142857
normal,0.184659,0
normal,0.183424,0
normal,0.183424,0.076923
normal,0.185988,0
normal,0.184706,0
normal,0.184706,0
normal,0.183373,0.083333
normal,0.186151,0
normal,0.184762,0
normal,0.184762,0
normal,0.183313,0
normal,0.183313,0.090909
normal,0.186343,0
normal,0.183241,0
normal,0.183241,0
normal,0.181574,0
normal,0.17982,0
normal,0.17982,0
normal,0.177968,0.1
normal,0.179449,0
normal,0.177597,0
normal,0.176617,0
normal,0.175607,0
normal,0.174565,0.090909
normal,0.17652,0
normal,0.175409,0
normal,0.17426,0.083333
normal,0.172276,0
normal,0.167514,0.076923
normal,0.170078,0
normal,0.170078,0
normal,0.167514,0.071429
normal,0.174656,0.032258
normal,0.172954,0.03125
normal,0.173996,0.060606
normal,0.176016,0.028571
normal,0.176968,0.027778
normal,0.177894,0.094595
normal,0.18117,0.052632
normal,0.182925,0.05
normal,0.184591,0
